Year,Primary Enrollment,GDP
2002,402370.0,24255.3385818322
2002,2846589.0,24255.3385818322
2002,3322417.75,24255.3385818322
2002,132432.0,24255.3385818322
2002,91143472.0,24255.3385818322
2002,3023321.0,24255.3385818322
2002,71103616.0,24255.3385818322
2002,53046460.0,24255.3385818322
2002,,24255.3385818322
2002,1729014.0,24255.3385818322
2002,297505440.0,24255.3385818322
2002,567834176.0,24255.3385818322
2002,418668.0,24255.3385818322
2002,189202064.0,24255.3385818322
2002,197463.0,24255.3385818322
2002,33966.0,24255.3385818322
2002,113923.0,24255.3385818322
2002,44368.0,24255.3385818322
2002,,24255.3385818322
2002,4029112.0,24255.3385818322
2002,375695.0,24255.3385818322
2002,,24255.3385818322
2002,2407644.0,24255.3385818322
2002,68242.0,24255.3385818322
2002,42171884.0,24255.3385818322
2002,14843381.0,24255.3385818322
2002,8757.0,24255.3385818322
2002,514787680.0,24255.3385818322
2002,121109.0,24255.3385818322
2002,1227267.0,24255.3385818322
2002,32717.0,24255.3385818322
